Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.402567144420053e+00     1.415597312380494e+00     1.446699364346757e+00     1.495778659008825e+00     1.556852563089864e+00     4.009067331416583e-02     7.714270933490530e-02 
log_Z                        -1.952714123795680e+00    -1.876594370862971e+00    -1.798540033724377e+00    -1.721267345130737e+00    -1.642594189582965e+00     7.766351286611695e-02     1.550599671063574e-01 
mHe                           1.407913817053016e-01     1.452659122547094e-01     1.490393388016216e-01     1.515557929472101e-01     1.531270445887870e-01     3.144940346250319e-03     6.167831441742683e-03 
A3_surf                      -4.251873319994368e-13     1.985626249569316e-14     4.586015203769012e-13     8.975469562962284e-13     1.352783325708196e-12     4.388453469002676e-13     8.889853288538165e-13 
Am1_surf                     -3.080013137173685e-07    -2.422316814787005e-07    -1.777715148546202e-07    -1.142791368817149e-07    -5.070825210446528e-08     6.397627229849279e-08     1.286465308064516e-07 
Radius                        7.051878472555154e+00     7.075356085982751e+00     7.129445553607461e+00     7.213101584872437e+00     7.310441723700318e+00     6.887274944484290e-02     1.292816255725819e-01 
Mass                          1.402567144420053e+00     1.415597312380494e+00     1.446699364346757e+00     1.495778659008825e+00     1.556852563089864e+00     4.009067331416583e-02     7.714270933490530e-02 
log_g                         2.888043397945703e+00     2.889528426954120e+00     2.892361193400669e+00     2.896784519137075e+00     2.902193918909827e+00     3.628046091477710e-03     7.075260482062085e-03 
Rho                           5.596684130881192e-03     5.611799320467467e-03     5.627504617314531e-03     5.643173310608185e-03     5.656716428881217e-03     1.568699507035858e-05     3.001614900001231e-05 
Age                           2.268243936508338e+03     2.611496063869205e+03     2.994561226777515e+03     3.309356848112646e+03     3.524821050707458e+03     3.489303921217204e+02     6.282885570995602e+02 
Teff                          4.665548686503487e+03     4.705953829543612e+03     4.746237127942223e+03     4.789093241301988e+03     4.830017487022802e+03     4.156970587918795e+01     8.223440025965738e+01 
Xc                            5.225271805283040e-34     5.584057929022699e-34     6.313130501805500e-34     8.318604269132195e-34     1.147112619797365e-33     1.367273170054748e-34     3.122927196345305e-34 
Luminosity                    2.146803036327044e+01     2.232215797892776e+01     2.326909940630013e+01     2.443178930073763e+01     2.569308206071157e+01     1.054815660904939e+00     2.112525848720562e+00 
Dnu                           8.193648728072215e+00     8.206346510738872e+00     8.220507146919676e+00     8.235555377501726e+00     8.252182932594788e+00     1.460443338142703e-02     2.926710226128648e-02 
numax                         9.574872740472709e+01     9.635159299046650e+01     9.708951387265793e+01     9.795151083361480e+01     9.902178472488644e+01     7.999589215741523e-01     1.636528660079676e+00 
Fe_H                         -2.003135687384638e-01    -1.197022025170347e-01    -3.736687828631129e-02     4.443827696305887e-02     1.280413659215858e-01     8.207023974004679e-02     1.641774673300248e-01 
