# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Age (in Myrs), $t$    
  -1.030955292500619e+04  1.016823977643651e+00 -1.777084216731945e+00  3.377692323471616e+03
  -1.000305138908471e+04  1.019532371681008e+00 -1.770369638664372e+00  3.300248151580583e+03
  -1.000305138908471e+04  1.019532371681008e+00 -1.770369638664372e+00  3.300248151580583e+03
  -9.912682888964526e+03  1.021250690568686e+00 -1.766108470141979e+00  3.252891706725149e+03
  -9.737772183356346e+03  1.019516758872792e+00 -1.762730982103967e+00  3.351052086965087e+03
  -9.737772183356346e+03  1.019516758872792e+00 -1.762730982103967e+00  3.351052086965087e+03
  -9.737772183356346e+03  1.019516758872792e+00 -1.762730982103967e+00  3.351052086965087e+03
  -9.737772183356346e+03  1.019516758872792e+00 -1.762730982103967e+00  3.351052086965087e+03
  -9.641051273076951e+03  1.019681161256767e+00 -1.758274433573250e+00  3.372612106031877e+03
  -9.641051273076951e+03  1.019681161256767e+00 -1.758274433573250e+00  3.372612106031877e+03
  -9.641051273076951e+03  1.019681161256767e+00 -1.758274433573250e+00  3.372612106031877e+03
  -9.641051273076951e+03  1.019681161256767e+00 -1.758274433573250e+00  3.372612106031877e+03
  -9.642009548017373e+03  1.019660746774474e+00 -1.758244473335344e+00  3.373744240906199e+03
  -9.642009548017373e+03  1.019660746774474e+00 -1.758244473335344e+00  3.373744240906199e+03
  -9.616211949513407e+03  1.019728822759298e+00 -1.758690977553288e+00  3.367075210420245e+03
  -9.616211949513407e+03  1.019728822759298e+00 -1.758690977553288e+00  3.367075210420245e+03
  -9.616211949513407e+03  1.019728822759298e+00 -1.758690977553288e+00  3.367075210420245e+03
  -9.616211949513407e+03  1.019728822759298e+00 -1.758690977553288e+00  3.367075210420245e+03
  -9.616211949513407e+03  1.019728822759298e+00 -1.758690977553288e+00  3.367075210420245e+03
  -9.576304296754610e+03  1.019627079360202e+00 -1.757439795971059e+00  3.379460341803799e+03
  -9.562267725548143e+03  1.019570226328346e+00 -1.756967300317189e+00  3.385019530485528e+03
  -9.562267725548143e+03  1.019570226328346e+00 -1.756967300317189e+00  3.385019530485528e+03
  -9.562267725548143e+03  1.019570226328346e+00 -1.756967300317189e+00  3.385019530485528e+03
  -9.562267725548143e+03  1.019570226328346e+00 -1.756967300317189e+00  3.385019530485528e+03
  -9.562267725548143e+03  1.019570226328346e+00 -1.756967300317189e+00  3.385019530485528e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.562208211528216e+03  1.019575120278260e+00 -1.756965184013255e+00  3.384811851657592e+03
  -9.561320793839781e+03  1.019339065078556e+00 -1.756997150050685e+00  3.395174322101465e+03
  -9.561320793839781e+03  1.019339065078556e+00 -1.756997150050685e+00  3.395174322101465e+03
  -9.560038668121921e+03  1.018996690536083e+00 -1.757043513602319e+00  3.410204052781263e+03
  -9.560038668121921e+03  1.018996690536083e+00 -1.757043513602319e+00  3.410204052781263e+03
  -9.560038668121921e+03  1.018996690536083e+00 -1.757043513602319e+00  3.410204052781263e+03
  -9.560038668121921e+03  1.018996690536083e+00 -1.757043513602319e+00  3.410204052781263e+03
  -9.560038668121921e+03  1.018996690536083e+00 -1.757043513602319e+00  3.410204052781263e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.558341665976963e+03  1.018810459205455e+00 -1.757046022572896e+00  3.418394566465604e+03
  -9.557446740409670e+03  1.017372312454918e+00 -1.757284639953871e+00  3.481739825716317e+03
  -9.557446740409670e+03  1.017372312454918e+00 -1.757284639953871e+00  3.481739825716317e+03
  -9.558463736705058e+03  1.017200776136368e+00 -1.757350679427109e+00  3.489072693036204e+03
  -9.551701753168581e+03  1.016276807714582e+00 -1.757311644216692e+00  3.531007046800569e+03
  -9.551905087518036e+03  1.016685996878775e+00 -1.757235325229229e+00  3.512996831056670e+03
  -9.549590293505598e+03  1.016304000591064e+00 -1.757223884206307e+00  3.530431166345618e+03
  -9.546822046074227e+03  1.016181881320555e+00 -1.757086718872062e+00  3.537012929939705e+03
  -9.546822046074227e+03  1.016181881320555e+00 -1.757086718872062e+00  3.537012929939705e+03
  -9.546822046074227e+03  1.016181881320555e+00 -1.757086718872062e+00  3.537012929939705e+03
  -9.546822046074227e+03  1.016181881320555e+00 -1.757086718872062e+00  3.537012929939705e+03
  -9.546249644577316e+03  1.016065603974704e+00 -1.757094354980389e+00  3.542219618758651e+03
  -9.545398459077129e+03  1.016145251912838e+00 -1.756991752904057e+00  3.539364982095091e+03
  -9.545398459077129e+03  1.016145251912838e+00 -1.756991752904057e+00  3.539364982095091e+03
  -9.544800499306135e+03  1.016039002101571e+00 -1.757045502381171e+00  3.543746247448956e+03
  -9.545806477930282e+03  1.016216368805907e+00 -1.757068312669783e+00  3.535528030646949e+03
  -9.545349968728569e+03  1.016160019712486e+00 -1.757072228114126e+00  3.538035447155724e+03
  -9.545349968728569e+03  1.016160019712486e+00 -1.757072228114126e+00  3.538035447155724e+03
  -9.545349968728569e+03  1.016160019712486e+00 -1.757072228114126e+00  3.538035447155724e+03
  -9.545349968728569e+03  1.016160019712486e+00 -1.757072228114126e+00  3.538035447155724e+03
  -9.544020485765008e+03  1.015921446786582e+00 -1.757079469070262e+00  3.548762100701639e+03
  -9.544020485765008e+03  1.015921446786582e+00 -1.757079469070262e+00  3.548762100701639e+03
  -9.539035484365801e+03  1.014501840637029e+00 -1.757196033962150e+00  3.612230961066491e+03
  -9.540178991407889e+03  1.014666211581337e+00 -1.757222627386692e+00  3.604540018670358e+03
  -9.538190553806224e+03  1.014356105860544e+00 -1.757207024005003e+00  3.618533391268552e+03
  -9.536805658737052e+03  1.014319108055283e+00 -1.757174068534693e+00  3.620488148943060e+03
  -9.536163752066315e+03  1.014239164414110e+00 -1.757166562816667e+00  3.624159876220728e+03
  -9.536163752066315e+03  1.014239164414110e+00 -1.757166562816667e+00  3.624159876220728e+03
  -9.533362868681439e+03  1.013670418252724e+00 -1.757146470965084e+00  3.649946134566357e+03
  -9.533574302030687e+03  1.013677312811928e+00 -1.757152063089238e+00  3.649595857589783e+03
  -9.533574302030687e+03  1.013677312811928e+00 -1.757152063089238e+00  3.649595857589783e+03
  -9.533574302030687e+03  1.013677312811928e+00 -1.757152063089238e+00  3.649595857589783e+03
  -9.533574302030687e+03  1.013677312811928e+00 -1.757152063089238e+00  3.649595857589783e+03
  -9.531374210977374e+03  1.013258234032092e+00 -1.757163217347425e+00  3.668571733965940e+03
  -9.530237389090855e+03  1.012989869859028e+00 -1.757177563464983e+00  3.680676273866172e+03
  -9.530237389090855e+03  1.012989869859028e+00 -1.757177563464983e+00  3.680676273866172e+03
  -9.530237389090855e+03  1.012989869859028e+00 -1.757177563464983e+00  3.680676273866172e+03
  -9.530481210602464e+03  1.013129620274667e+00 -1.757166143534634e+00  3.674426628508812e+03
